300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.0
2100	0.0
2400	0.0
2700	0.0
3000	0.0
3300	0.0
3600	0.0
3900	0.0
4200	0.0
4500	0.002
4800	0.011
5100	0.039
5400	0.098
5700	0.179
6000	0.274
6300	0.381
6600	0.461
6900	0.537
7200	0.616
7500	0.678
7800	0.728
8100	0.769
8400	0.802
8700	0.837
9000	0.863
9300	0.882
9600	0.898
9900	0.909
10200	0.919
10500	0.93
10800	0.939
11100	0.946
11400	0.95
11700	0.954
12000	0.957
12300	0.961
12600	0.965
12900	0.969
13200	0.972
13500	0.975
13800	0.978
14100	0.98
14400	0.981
14700	0.984
15000	0.984
15300	0.984
15600	0.986
15900	0.986
16200	0.987
16500	0.988
16800	0.989
17100	0.989
17400	0.99
17700	0.99
18000	0.99
