300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.0
2100	0.0
2400	0.0
2700	0.0
3000	0.0
3300	0.0
3600	0.0
3900	0.0
4200	0.0
4500	0.0
4800	0.004
5100	0.036
5400	0.105
5700	0.199
6000	0.291
6300	0.381
6600	0.467
6900	0.535
7200	0.612
7500	0.676
7800	0.736
8100	0.775
8400	0.806
8700	0.827
9000	0.846
9300	0.866
9600	0.886
9900	0.897
10200	0.912
10500	0.924
10800	0.927
11100	0.93
11400	0.934
11700	0.935
12000	0.936
12300	0.941
12600	0.944
12900	0.948
13200	0.95
13500	0.953
13800	0.956
14100	0.958
14400	0.962
14700	0.967
15000	0.97
15300	0.971
15600	0.971
15900	0.972
16200	0.974
16500	0.976
16800	0.976
17100	0.977
17400	0.978
17700	0.979
18000	0.979
